Date,Vol
2009-01-08,37.0
2009-01-09,111.0
2009-01-10,0.0
2009-01-11,64.0
2009-01-12,61.0
2009-01-13,8.0
2009-01-14,203.0
2009-01-15,3.0
2009-01-16,130.0
2009-01-17,176.0
2009-01-18,63.0
2009-01-19,0.0
2009-01-20,0.0
2009-01-21,168.0
2009-01-22,7.0
2009-01-23,191.0
2009-01-24,103.0
2009-01-25,5.0
2009-01-26,21.0
2009-01-27,125.0
2009-01-28,0.0
2009-01-29,0.0
2009-01-30,131.0
2009-01-31,107.0
2009-02-01,149.0
2009-02-02,73.0
2009-02-03,329.0
2009-02-04,0.0
2009-02-05,0.0
2009-02-06,149.0
2009-02-07,0.0
2009-02-08,35.0
2009-02-09,0.0
2009-02-10,219.0
2009-02-11,13.0
2009-02-12,0.0
2009-02-13,8.0
2009-02-14,0.0
2009-02-15,0.0
2009-02-16,0.0
2009-02-17,210.0
2009-02-18,78.0
2009-02-19,12.0
2009-02-20,3.0
2009-02-21,98.0
2009-02-22,40.0
2009-02-23,16.0
2009-02-24,3.0
2009-02-25,0.0
2009-02-26,0.0
2009-02-27,39.0
2009-02-28,27.0
2009-03-01,18.0
2009-03-02,0.0
2009-03-03,0.0
2009-03-04,0.0
2009-03-05,1.0
2009-03-06,10.0
2009-03-07,4.0
2009-03-08,6.0
2009-03-09,24.0
2009-03-10,33.0
2009-03-11,116.0
2009-03-12,134.0
2009-03-13,9.0
2009-03-14,19.0
2009-03-15,19.0
2009-03-16,7.0
2009-03-17,47.0
2009-03-18,16.0
2009-03-19,8.0
2009-03-20,13.0
2009-03-21,74.0
2009-03-22,13.0
2009-03-23,90.0
2009-03-24,24.0
2009-03-25,75.0
2009-03-26,26.0
2009-03-27,20.0
2009-03-28,156.0
2009-03-29,79.0
2009-03-30,91.0
2009-03-31,133.0
2009-04-01,20.0
2009-04-02,82.0
2009-04-03,111.0
2009-04-04,79.0
2009-04-05,92.0
2009-04-06,0.0
2009-04-07,72.0
2009-04-08,145.0
2009-04-09,75.0
2009-04-10,127.0
2009-04-11,168.0
2009-04-12,101.0
2009-04-13,27.0
2009-04-14,51.0
2009-04-15,108.0
2009-04-16,73.0
2009-04-17,23.0
2009-04-18,4.0
2009-04-19,48.0
2009-04-20,50.0
2009-04-21,6.0
2009-04-22,7.0
2009-04-23,9.0
2009-04-24,30.0
2009-04-25,26.0
2009-04-26,10.0
2009-04-27,415.0
2009-04-28,592.0
2009-04-29,58.0
2009-04-30,91.0
2009-05-01,4.0
2009-05-02,64.0
2009-05-03,57.0
2009-05-04,51.0
2009-05-05,41.0
2009-05-06,29.0
2009-05-07,13.0
2009-05-08,36.0
2009-05-09,28.0
2009-05-10,54.0
2009-05-11,72.0
2009-05-12,31.0
2009-05-13,52.0
2009-05-14,353.0
2009-05-15,44.0
2009-05-16,19.0
2009-05-17,162.0
2009-05-18,6.0
2009-05-19,14.0
2009-05-20,14.0
2009-05-21,131.0
2009-05-22,114.0
2009-05-23,132.0
2009-05-24,72.0
2009-05-25,39.0
2009-05-26,264.0
2009-05-27,108.0
2009-05-28,118.0
2009-05-29,9.0
2009-05-30,310.0
2009-05-31,32.0
2009-06-01,63.0
2009-06-02,205.0
2009-06-03,0.0
2009-06-04,65.0
2009-06-05,51.0
2009-06-06,287.0
2009-06-07,19.0
2009-06-08,90.0
2009-06-09,40.0
2009-06-10,6.0
2009-06-11,43.0
2009-06-12,25.0
2009-06-13,15.0
2009-06-14,3.0
2009-06-15,14.0
2009-06-16,7.0
2009-06-17,37.0
2009-06-18,25.0
2009-06-19,21.0
2009-06-20,5.0
2009-06-21,6.0
2009-06-22,26.0
2009-06-23,21.0
2009-06-24,131.0
2009-06-25,90.0
2009-06-26,173.0
2009-06-27,92.0
2009-06-28,90.0
2009-06-29,39.0
2009-06-30,136.0
2009-07-01,45.0
2009-07-02,79.0
2009-07-03,65.0
2009-07-04,61.0
2009-07-05,3.0
2009-07-06,5.0
2009-07-07,119.0
2009-07-08,48.0
2009-07-09,16.0
2009-07-10,3.0
2009-07-11,60.0
2009-07-12,0.0
2009-07-13,34.0
2009-07-14,18.0
2009-07-15,13.0
2009-07-16,3.0
2009-07-17,20.0
2009-07-18,21.0
2009-07-19,20.0
2009-07-20,0.0
2009-07-21,0.0
2009-07-22,4.0
2009-07-23,10.0
2009-07-24,9.0
2009-07-25,44.33333333333333
2009-07-26,79.66666666666666
2009-07-27,115.0
2009-07-28,88.0
2009-07-29,3.0
2009-07-30,96.0
2009-07-31,0.0
2009-08-01,6.333333333333334
2009-08-02,12.666666666666668
2009-08-03,19.0
2009-08-04,38.0
2009-08-05,139.0
2009-08-06,66.0
2009-08-07,16.0
2009-08-08,10.0
2009-08-09,83.0
2009-08-10,0.0
2009-08-11,0.0
2009-08-12,0.0
2009-08-13,0.0
2009-08-14,1.0
2009-08-15,0.0
2009-08-16,0.0
2009-08-17,0.0
2009-08-18,0.0
2009-08-19,0.0
2009-08-20,31.0
2009-08-21,58.0
2009-08-22,38.0
2009-08-23,46.0
2009-08-24,0.0
2009-08-25,62.0
2009-08-26,62.0
2009-08-27,0.0
2009-08-28,147.0
2009-08-29,126.0
2009-08-30,101.0
2009-08-31,73.0
2009-09-01,76.0
2009-09-02,164.0
2009-09-03,71.0
2009-09-04,7.0
2009-09-05,0.0
2009-09-06,33.0
2009-09-07,109.0
2009-09-08,44.0
2009-09-09,121.0
2009-09-10,116.0
2009-09-11,372.0
2009-09-12,156.0
2009-09-13,259.0
2009-09-14,98.0
2009-09-15,226.0
2009-09-16,54.0
2009-09-17,1.0
2009-09-18,95.0
2009-09-19,57.0
2009-09-20,63.0
2009-09-21,50.0
2009-09-22,7.0
2009-09-23,12.0
2009-09-24,4.0
2009-09-25,5.0
2009-09-26,49.0
2009-09-27,44.0
2009-09-28,0.0
2009-09-29,21.0
2009-09-30,159.0
2009-10-01,49.0
2009-10-02,105.0
2009-10-03,190.0
2009-10-04,58.0
2009-10-05,80.0
2009-10-06,14.0
2009-10-07,195.0
2009-10-08,64.0
2009-10-09,66.0
2009-10-10,71.0
2009-10-11,9.0
2009-10-12,2.0
2009-10-13,2.0
2009-10-14,100.0
2009-10-15,6.0
2009-10-16,7.0
2009-10-17,2.0
2009-10-18,317.0
2009-10-19,49.0
2009-10-20,8.0
2009-10-21,110.0
2009-10-22,103.0
2009-10-23,7.0
2009-10-24,90.0
2009-10-25,256.0
2009-10-26,28.0
2009-10-27,114.0
2009-10-28,62.0
2009-10-29,58.0
2009-10-30,20.0
2009-10-31,16.0
2009-11-01,22.0
2009-11-02,94.0
2009-11-03,75.0
2009-11-04,173.0
2009-11-05,27.0
2009-11-06,92.0
2009-11-07,118.0
2009-11-08,756.0
2009-11-09,212.0
2009-11-10,43.0
2009-11-11,95.0
2009-11-12,103.0
2009-11-13,23.0
2009-11-14,153.0
2009-11-15,82.0
2009-11-16,0.0
2009-11-17,75.0
2009-11-18,18.0
2009-11-19,95.0
2009-11-20,113.0
2009-11-21,140.0
2009-11-22,90.0
2009-11-23,117.0
2009-11-24,107.0
2009-11-25,0.0
2009-11-26,108.0
2009-11-27,0.0
2009-11-28,0.0
2009-11-29,0.0
2009-11-30,7.0
2009-12-01,1.0
2009-12-02,19.0
2009-12-03,13.0
2009-12-04,250.0
2009-12-05,91.0
2009-12-06,14.0
2009-12-07,140.0
2009-12-08,77.0
2009-12-09,44.0
2009-12-10,182.0
2009-12-11,104.0
2009-12-12,79.0
2009-12-13,97.0
2009-12-14,84.0
2009-12-15,85.0
2009-12-16,106.0
2009-12-17,0.0
2009-12-18,0.0
2009-12-19,146.0
2009-12-20,0.0
2009-12-21,0.0
2009-12-22,0.0
2009-12-23,0.0
2009-12-24,3.0
2009-12-25,15.25
2009-12-26,27.5
2009-12-27,39.75
2009-12-28,52.0
2009-12-29,16.0
2009-12-30,48.0
2009-12-31,24.0
2010-01-01,10.0
2010-01-02,55.0
2010-01-03,9.0
2010-01-04,5.0
2010-01-05,109.0
2010-01-06,101.0
2010-01-07,6.0
2010-01-08,396.0
2010-01-09,95.0
2010-01-10,103.0
2010-01-11,37.0
2010-01-12,4.0
2010-01-13,2.0
2010-01-14,32.0
2010-01-15,28.0
2010-01-16,85.0
2010-01-17,0.0
2010-01-18,90.0
2010-01-19,110.0
2010-01-20,89.0
2010-01-21,7.0
2010-01-22,137.0
2010-01-23,25.0
2010-01-24,56.0
2010-01-25,110.0
2010-01-26,176.0
2010-01-27,156.0
2010-01-28,102.0
2010-01-29,66.0
2010-01-30,93.0
2010-01-31,16.0
2010-02-01,124.0
2010-02-02,104.0
2010-02-03,0.0
2010-02-04,21.0
2010-02-05,1.0
2010-02-06,86.66666666666666
2010-02-07,172.33333333333331
2010-02-08,258.0
2010-02-09,58.0
2010-02-10,0.0
2010-02-11,0.0
2010-02-12,118.0
2010-02-13,28.0
2010-02-14,23.0
2010-02-15,49.0
2010-02-16,245.0
2010-02-17,0.0
2010-02-18,62.0
2010-02-19,72.0
2010-02-20,22.0
2010-02-21,57.0
2010-02-22,49.0
2010-02-23,333.0
2010-02-24,4.0
2010-02-25,0.0
2010-02-26,0.0
2010-02-27,0.0
2010-02-28,0.0
2010-03-01,0.0
2010-03-02,28.0
2010-03-03,8.0
2010-03-04,0.0
2010-03-05,152.0
2010-03-06,36.0
2010-03-07,7.0
2010-03-08,16.0
2010-03-09,42.0
2010-03-10,11.0
2010-03-11,30.0
2010-03-12,122.0
2010-03-13,67.0
2010-03-14,108.0
2010-03-15,35.0
2010-03-16,71.0
2010-03-17,27.0
2010-03-18,122.0
2010-03-19,184.0
2010-03-20,132.0
2010-03-21,131.0
2010-03-22,104.0
2010-03-23,28.0
2010-03-24,56.0
2010-03-25,122.0
2010-03-26,236.0
2010-03-27,117.0
2010-03-28,96.0
2010-03-29,176.0
2010-03-30,0.0
2010-03-31,74.0
2010-04-01,7.0
2010-04-02,128.0
2010-04-03,35.0
2010-04-04,2.0
2010-04-05,63.0
2010-04-06,81.0
2010-04-07,1.0
2010-04-08,171.0
2010-04-09,120.0
2010-04-10,243.0
2010-04-11,130.0
2010-04-12,0.0
2010-04-13,0.0
2010-04-14,362.0
2010-04-15,104.0
2010-04-16,266.0
2010-04-17,142.0
2010-04-18,54.0
2010-04-19,0.0
2010-04-20,111.0
2010-04-21,376.0
2010-04-22,223.0
2010-04-23,235.0
2010-04-24,377.0
2010-04-25,873.0
2010-04-26,4.0
2010-04-27,230.0
2010-04-28,6.0
2010-04-29,0.0
2010-04-30,730.0
2010-05-01,253.0
2010-05-02,90.0
2010-05-03,352.0
2010-05-04,631.0
2010-05-05,45.0
2010-05-06,149.0
2010-05-07,169.0
2010-05-08,191.0
2010-05-09,108.0
2010-05-10,32.0
2010-05-11,36.0
2010-05-12,40.0
2010-05-13,14.0
2010-05-14,33.0
2010-05-15,889.0
2010-05-16,578.0
2010-05-17,876.0
2010-05-18,61.0
2010-05-19,35.0
2010-05-20,901.0
2010-05-21,1332.0
2010-05-22,115.0
2010-05-23,121.0
2010-05-24,0.0
2010-05-25,448.0
2010-05-26,152.0
2010-05-27,13.0
2010-05-28,364.0
2010-05-29,45.0
2010-05-30,85.0
2010-05-31,125.0
2010-06-01,165.0
2010-06-02,122.0
2010-06-03,225.0
2010-06-04,0.0
2010-06-05,42.0
2010-06-06,34.0
2010-06-07,29.0
2010-06-08,6.0
2010-06-09,18.0
2010-06-10,89.0
2010-06-11,35.0
2010-06-12,117.0
2010-06-13,39.0
2010-06-14,36.0
2010-06-15,164.0
2010-06-16,36.0
2010-06-17,129.0
2010-06-18,13.0
2010-06-19,91.0
2010-06-20,103.0
2010-06-21,44.0
2010-06-22,29.0
2010-06-23,12.0
2010-06-24,135.0
2010-06-25,188.0
2010-06-26,86.0
2010-06-27,68.0
2010-06-28,17.0
2010-06-29,148.0
2010-06-30,64.0
2010-07-01,103.0
2010-07-02,30.0
2010-07-03,56.0
2010-07-04,64.33333333333333
2010-07-05,72.66666666666666
2010-07-06,81.0
2010-07-07,56.0
2010-07-08,125.0
2010-07-09,139.0
2010-07-10,92.0
2010-07-11,18.0
2010-07-12,12.0
2010-07-13,13.0
2010-07-14,0.0
2010-07-15,158.0
